NUTS2,y2006,y2010,y2015,y2020,y2025,y2030,y2035,y2040,y2045,y2050,y2055,y2060
PL43,1009198,1009605,1021715,1017668,1007231,990949,972619,955139,937665,920400,902541,883939
PL51,2888232,2876509,2908447,2893787,2861901,2815306,2765038,2719780,2676724,2636248,2595666,2553811
PL52,1047407,975283,1001884,981290,954795,922825,889469,857920,827292,797045,765794,733850
PL61,2068253,2074489,2091611,2077775,2052374,2015571,1971730,1924233,1872411,1818059,1762207,1705145
PL62,1428601,1428496,1445928,1433802,1413910,1386196,1354055,1320167,1283565,1245029,1204861,1163828
PL63,2199043,2234955,2300934,2326338,2337562,2335909,2328193,2318857,2306254,2290811,2272127,2250011
PT11,3737791,3705980,3615178,3505131,3403207,3297410,3181560,3049711,2898479,2728902,2548427,2366950
PT15,416847,445824,443064,444734,449848,455963,462523,468887,473725,475993,476186,475368
PT16,2382448,2337787,2262561,2185096,2116935,2051584,1986274,1917296,1841118,1756350,1666213,1575933
PT17,2779097,2808205,2803733,2793158,2798497,2806999,2817695,2830488,2841281,2843869,2838436,2829281
PT18,765971,762068,736234,710146,688344,669182,651940,635138,617130,596921,575252,553568
PT20,242241,246900,246034,244728,244765,244620,243565,241307,237701,232769,226791,220189
PT30,245197,266715,260725,257001,254456,251781,248331,243517,236801,228092,217920,207078
RO11,2729181,2719719,2588367,2580338,2560436,2525235,2496834,2477666,2458143,2436382,2413739,2383721
RO12,2534378,2524418,2357750,2356590,2343385,2318674,2301766,2293420,2284208,2273270,2263500,2250010
RO21,3734946,3712396,3257723,3216747,3172032,3119957,3080571,3051589,3020797,2989297,2961561,2928131
RO22,2843624,2811218,2498185,2440738,2376847,2306492,2248219,2199752,2149705,2098623,2051448,2001991
RO31,3321392,3267270,3074865,2996933,2912508,2821544,2741484,2670022,2596147,2519390,2442551,2359067
RO32,2215701,2261698,2298200,2347290,2373886,2373774,2387493,2422481,2462319,2499293,2533202,2554058
RO41,2301833,2246033,2019158,1949916,1877430,1799615,1726804,1658305,1588585,1517690,1447195,1373205
RO42,1929158,1919434,1815085,1798236,1773930,1738278,1708146,1685456,1663081,1640050,1617673,1590577
SE11,1889945,2019182,2202135,2391014,2590929,2789988,2982196,3170183,3354331,3529493,3692501,3845648
SE12,1518077,1558292,1614658,1677395,1744792,1806663,1860965,1912609,1965072,2016947,2065305,2110181
SE21,800054,810066,821945,836859,852019,862915,869975,876107,883007,889841,894802,897935
SE22,1320160,1383653,1443172,1512755,1586781,1657687,1723954,1789129,1854696,1917824,1975798,2029450
SE23,1814323,1866283,1934813,2009798,2089369,2162773,2227343,2288023,2347667,2404199,2455000,2500989
SE31,825037,825931,827808,832548,838524,840752,838962,835928,833881,832305,829718,826415
SE32,370764,369708,367484,366406,366016,364285,361297,358177,355485,352928,349987,346847
SE33,509392,507567,509624,511359,513370,513093,510605,507571,505057,502746,499942,496735
SI01,1078992,1084935,1078458,1069132,1051466,1028943,1005341,982077,958803,933137,904729,875256
SI02,924366,962041,988047,1017655,1040286,1058707,1076725,1096547,1117834,1137246,1153244,1166079
SK01,603699,597999,620283,636297,646858,651676,653516,656059,660306,663870,665259,663513
SK02,1863056,1842763,1832758,1813750,1784044,1741395,1688960,1632346,1573944,1511880,1446201,1376117
SK03,1351882,1350286,1346180,1336182,1319494,1294675,1263223,1227976,1190296,1149293,1105551,1058918
SK04,1570543,1599362,1617626,1628303,1631479,1626274,1613619,1595616,1573102,1544929,1512383,1475789
UKC1,1151783,1168781,1182857,1195323,1205016,1210893,1213892,1216389,1219292,1221333,1221374,1220557
UKC2,1398535,1412315,1431505,1449457,1466521,1480628,1491122,1499564,1507291,1513867,1518566,1522529
UKD1,496696,500458,496204,490548,482489,471990,459452,445936,432171,418037,403131,387944
UKD2,996868,1.014.870.582,1.027.614.506,1.038.418.512,1046823.98,1.051.468.605,1.052.654.746,1.052.412.098,1.052.043.678,1.050.814.767,1.047.443.941,1042465.62
UKD3,2549003,2651011,2739795,2830980,2921016,3007320,3092231,3180493,3272533,3362288,3443822,3518067
UKD4,1445700,1455120,1469439,1479980,1488026,1492183,1493135,1493657,1495087,1495920,1494174,1490625
UKD5,1357175,1.381.684.418,1.399.034.494,1.413.743.488,1425187.02,1.431.510.395,1.433.125.254,1.432.794.902,1.432.293.322,1.430.620.233,1.426.031.059,1419253.38
UKE1,904502,914144,923453,929714,932411,931489,928218,924389,920564,915634,908611,900421
UKE2,773926,791442,810635,828026,842981,854791,863138,869464,875062,880009,883699,886323
UKE3,1290744,1328405,1368737,1410080,1452583,1493693,1532886,1572140,1612460,1652349,1689924,1725585
UKE4,2159433,2205139,2266129,2324793,2382339,2438768,2495286,2553859,2614181,2672298,2724918,2773684
UKF1,2041575,2090780,2149343,2208535,2266608,2320783,2369805,2416959,2464890,2511839,2554728,2594481
UKF2,1620689,1689857,1754267,1812384,1866756,1916855,1963618,2009605,2055602,2099295,2138042,2172912
UKF3,682591,708733,729314,750333,769452,785716,799293,811703,824203,836459,847320,856970
UKG1,1250561,1288952,1311859,1331301,1345606,1354030,1356811,1356886,1356817,1356264,1353316,1348019
UKG2,1507519,1558437,1592415,1622339,1645707,1662078,1672525,1680231,1687279,1692668,1694496,1693437
UKG3,2596626,2699492,2812030,2924572,3041407,3161256,3284914,3415200,3551101,3686523,3815603,3938385
UKH1,2272258,2361712,2452137,2536538,2612315,2679351,2739131,2795991,2853093,2908417,2957602,3000442
UKH2,1639929,1706697,1796967,1882497,1964199,2042636,2119002,2196111,2274505,2350427,2419977,2483383
UKH3,1660011,1711120,1766535,1818468,1865589,1907228,1943828,1978507,2013224,2046236,2074391,2097794
UKI1,2961715,3157127,3398993,3642993,3897117,4153846,4411034,4671677,4934200,5190391,5431061,5652395
UKI2,4554034,4845494,5173989,5499250,5822903,6147145,6478841,6826396,7186057,7539358,7868653,8172727
UKJ1,2148738,2242650,2340471,2427694,2504446,2573999,2641023,2710015,2780990,2847923,2905297,2954359
UKJ2,2602798,2709001,2814267,2912607,3003971,3089322,3167943,3242896,3316454,3385626,3445590,3496529
UKJ3,1821917,1877812,1944051,2005443,2061776,2112872,2158864,2202961,2247383,2290210,2328385,2362434
UKJ4,1625128,1705146,1785402,1862765,1937876,2008911,2075022,2138789,2202517,2264842,2322819,2376414
UKK1,2250583,2324183,2413032,2495809,2573570,2644957,2710068,2772746,2835820,2896890,2951893,3001033
UKK2,1217045,1261896,1302965,1338908,1370053,1396123,1417148,1435144,1452073,1467687,1480293,1489861
UKK3,521941,530325,547008,561372,574900,586722,596305,604541,612903,621677,630122,638060
